,FCU_FanOutletBlockage,FCU_FilterRestriction_10%,FCU_FilterRestriction_20%,FCU_FilterRestriction_50%,FCU_OABlockage,FCU_OADMPRLeak_20,FCU_OADMPRLeak_50,FCU_OADMPRLeak_80,FCU_OADMPRStuck_0,FCU_OADMPRStuck_100,FCU_OADMPRStuck_30,FCU_OADMPRStuck_50,FCU_OADMPRStuck_80,FCU_SensorBias_RMTemp_+2C,FCU_SensorBias_RMTemp_+4C,FCU_SensorBias_RMTemp_-2C,FCU_SensorBias_RMTemp_-4C,FCU_VLVLeak_Cooling_20,FCU_VLVLeak_Cooling_50,FCU_VLVLeak_Cooling_80,FCU_VLVLeak_Heating_20,FCU_VLVLeak_Heating_50,FCU_VLVLeak_Heating_80,FCU_VLVStuck_Cooling_0,FCU_VLVStuck_Cooling_100,FCU_VLVStuck_Cooling_20,FCU_VLVStuck_Cooling_50,FCU_VLVStuck_Cooling_80,FCU_VLVStuck_Heating_100,FCU_VLVStuck_Heating_20,FCU_VLVStuck_Heating_50,FCU_VLVStuck_Heating_80,Normal
FCU_FanOutletBlockage,463,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_FilterRestriction_10%,3,548,88,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
FCU_FilterRestriction_20%,3,512,101,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FCU_FilterRestriction_50%,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FCU_OABlockage,1,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
FCU_OADMPRLeak_20,1,0,0,0,0,553,57,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
FCU_OADMPRLeak_50,0,0,0,0,0,496,67,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCU_OADMPRLeak_80,0,0,0,0,0,442,63,124,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
FCU_OADMPRStuck_0,0,0,0,0,0,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_OADMPRStuck_100,0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_OADMPRStuck_30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_OADMPRStuck_50,0,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_OADMPRStuck_80,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_SensorBias_RMTemp_+2C,0,0,0,0,0,0,0,0,0,0,0,0,0,488,41,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4
FCU_SensorBias_RMTemp_+4C,0,0,0,0,0,0,0,0,0,0,0,0,0,168,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FCU_SensorBias_RMTemp_-2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FCU_SensorBias_RMTemp_-4C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_VLVLeak_Cooling_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,3,97,0,0,0,0,0,0,0,0,0,0,0,0,5
FCU_VLVLeak_Cooling_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,104,657,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_VLVLeak_Cooling_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,52,720,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_VLVLeak_Heating_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,2,0,0,0
FCU_VLVLeak_Heating_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,210,0,0,0,0,0,0,0,0,0,0
FCU_VLVLeak_Heating_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1528,0,0,0,0,0,0,0,0,0,0
FCU_VLVStuck_Cooling_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2049,0,0,0,0,0,0,0,0,0
FCU_VLVStuck_Cooling_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,0,0,0,0,0,0,0,0
FCU_VLVStuck_Cooling_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,7
FCU_VLVStuck_Cooling_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,82,692,0,0,0,0,0
FCU_VLVStuck_Cooling_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,743,0,0,0,0,0
FCU_VLVStuck_Heating_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583,0,0,0,0
FCU_VLVStuck_Heating_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,476,0,0,0
FCU_VLVStuck_Heating_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1445,0,0
FCU_VLVStuck_Heating_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583,0
Normal,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,2068
