,FCU_FanOutletBlockage,FCU_FilterRestriction_10%,FCU_FilterRestriction_20%,FCU_FilterRestriction_50%,FCU_OABlockage,FCU_OADMPRLeak_20,FCU_OADMPRLeak_50,FCU_OADMPRLeak_80,FCU_OADMPRStuck_0,FCU_OADMPRStuck_100,FCU_OADMPRStuck_30,FCU_OADMPRStuck_50,FCU_OADMPRStuck_80,FCU_SensorBias_RMTemp_+2C,FCU_SensorBias_RMTemp_+4C,FCU_SensorBias_RMTemp_-2C,FCU_SensorBias_RMTemp_-4C,FCU_VLVLeak_Cooling_20,FCU_VLVLeak_Cooling_50,FCU_VLVLeak_Cooling_80,FCU_VLVLeak_Heating_20,FCU_VLVLeak_Heating_50,FCU_VLVLeak_Heating_80,FCU_VLVStuck_Cooling_0,FCU_VLVStuck_Cooling_100,FCU_VLVStuck_Cooling_20,FCU_VLVStuck_Cooling_50,FCU_VLVStuck_Cooling_80,FCU_VLVStuck_Heating_0,FCU_VLVStuck_Heating_100,FCU_VLVStuck_Heating_20,FCU_VLVStuck_Heating_50,FCU_VLVStuck_Heating_80,Normal
FCU_FanOutletBlockage,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
FCU_FilterRestriction_10%,0,551,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
FCU_FilterRestriction_20%,0,2,555,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
FCU_FilterRestriction_50%,81,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
FCU_OABlockage,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81
FCU_OADMPRLeak_20,0,0,0,0,0,50,3,462,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,167
FCU_OADMPRLeak_50,0,0,1,0,0,11,4,486,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,183
FCU_OADMPRLeak_80,0,0,0,0,0,6,5,497,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,168
FCU_OADMPRStuck_0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FCU_OADMPRStuck_100,0,1,0,0,0,0,0,0,0,234,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_OADMPRStuck_30,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_OADMPRStuck_50,0,0,0,0,0,0,0,0,0,0,0,567,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_OADMPRStuck_80,0,3,0,0,0,0,0,0,0,0,0,7,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_SensorBias_RMTemp_+2C,0,0,37,10,0,0,0,0,0,0,0,0,0,0,154,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,415
FCU_SensorBias_RMTemp_+4C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
FCU_SensorBias_RMTemp_-2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
FCU_SensorBias_RMTemp_-4C,0,0,2,0,0,0,0,0,0,0,0,1,7,0,0,154,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FCU_VLVLeak_Cooling_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,13,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_VLVLeak_Cooling_50,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,180,454,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FCU_VLVLeak_Cooling_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,170,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCU_VLVLeak_Heating_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,33,104,0,0,0,0,0,0,0,0,0,0,3
